company,Revenue_Growth,returnOnEquity,Profit_Margin,Debt_to_Equity,R_and_D_to_Revenue,Capex_to_Revenue,sector,cluster
obs_1,0.1586,0.5556,0.224,1.0685,0.0536,0.0501,Technology,2
obs_3,0.0227,0.1023,0.023,4.2918,0.0,0.0486,Consumer_Cyclical,2
obs_13,0.0841,0.3105,0.187,2.7601,0.0,0.0354,Financial_Services,2
obs_14,0.1226,0.3029,0.5,0.489,0.0,0.0342,Financial_Services,2
obs_18,0.01,0.2062,0.054,2.7007,0.0,0.0596,Consumer_Cyclical,2
obs_19,0.1356,0.2656,0.14,1.1371,0.0056,0.0992,Sector_Base,2
obs_23,0.0554,0.5869,0.05,2.8938,0.0,0.0157,Consumer_Cyclical,2
obs_24,-0.061,0.5893,0.044,2.1184,0.0,0.0086,Consumer_Defensive,2
obs_28,0.0383,0.2922,0.119,2.1274,0.0,0.1273,Communication_Services,2
obs_31,0.2091,0.3336,0.285,0.4849,0.0165,0.1391,Energy,2
obs_33,-0.1004,0.3789,0.202,2.6037,0.0,0.0346,Consumer_Defensive,2
obs_50,0.3043,0.2826,0.219,2.4255,0.0,0.2296,Energy,2
obs_53,0.055,0.6204,0.354,0.5635,0.0988,0.0717,Technology,2
obs_61,0.3508,0.2312,0.077,1.9776,0.0774,0.0135,Communication_Services,2
obs_63,0.0738,0.263,0.27,1.1731,0.0,0.1164,Industrials,2
obs_67,0.0514,0.57,0.081,4.1025,0.0,0.0127,Consumer_Cyclical,2
obs_68,0.0713,0.4218,0.294,0.0,0.0,0.0456,Industrials,2
obs_70,0.035,0.546,0.163,1.4927,0.0556,0.0401,Industrials,2
obs_73,0.0786,0.4245,0.176,2.1086,0.0,0.0677,Consumer_Cyclical,2
obs_82,0.0737,0.2586,0.064,1.5603,0.0,0.0182,Consumer_Cyclical,2
obs_83,0.2562,0.2098,0.063,3.7434,0.0444,0.0393,Industrials,2
obs_85,0.0057,0.5196,0.11,2.7276,0.0676,0.0467,Technology,2
obs_90,0.2037,0.4366,0.112,2.5961,0.0338,0.0362,Industrials,2
obs_99,0.0383,0.7099,0.106,2.8943,0.0917,0.0327,Technology,2
obs_104,0.0616,0.5363,0.049,3.2331,0.0,0.0127,Industrials,2
obs_112,0.2393,0.3198,0.106,0.604,0.0,0.0202,Sector_Base,2
obs_114,0.1721,0.0686,0.04,3.885,0.0,0.3035,Technology,2
obs_119,0.0914,0.8226,0.191,3.6274,0.0,0.0737,Sector_Base,2
obs_120,0.0772,0.398,0.141,0.4228,0.0,0.0353,Industrials,2
obs_122,0.2282,0.1776,0.194,2.1474,0.0,0.0645,Consumer_Cyclical,2
obs_126,0.0901,0.224,0.087,1.8217,0.0,0.0524,Consumer_Cyclical,2
obs_132,0.1653,0.4045,0.169,1.1833,0.0101,0.0471,Sector_Base,2
obs_141,0.0313,0.3721,0.162,0.8919,0.0,0.0194,Industrials,2
obs_148,0.1869,0.164,0.423,1.4412,0.0,0.0,Financial_Services,2
