Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
INTC,Technology,7.0919,0.1289,0.297,0.617335705,0.2824,1.446586083,0.553660042,0.3535,0.2143,0.1912,0.0256,1.731
MU,Technology,3.0421,0.4955,0.465,0.588694021,0.4377,1.283837445,0.700640907,0.1436,0.2922,0.0704,0.0,2.787
AAPL,Technology,13.6724,0.1586,0.224,0.383437188,0.5556,6.430248886,0.726215052,1.0685,0.0501,0.0536,0.012,1.133
MSFT,Technology,15.3298,0.1428,0.15,0.652473722,0.2003,3.053173242,0.4263506,0.989,0.1054,0.1334,0.0165,2.901
F,Consumer Cyclical,10.8702,0.0227,0.023,0.091095062,0.1023,4.431919951,0.625001949,4.2918,0.0486,0.0,0.0784,1.2
FB,Technology,11.3092,0.3735,0.396,0.832461764,0.2628,2.262204756,0.573674153,0.0,0.2492,0.184,0.0,7.194
ORCL,Technology,10.6814,0.0421,0.091,0.795343168,0.0774,6.678480583,0.285692523,1.3072,0.0441,0.1545,0.0163,3.982
NKE,Consumer Cyclical,22.296,0.0596,0.053,0.438387779,0.197,8.171755725,1.615060348,0.3883,0.0282,0.0,0.0106,2.506
PG,Consumer Defensive,13.0415,0.0273,0.146,0.484797702,0.1844,3.244271845,0.564888851,0.5916,0.0556,0.0,0.0357,0.826
PFE,Healthcare,15.0866,0.021,0.208,0.790333103,0.1759,4.007994023,0.33650939,0.6583,0.0409,0.1492,0.0312,1.567
TWTR,Technology,18.7334,0.2452,0.396,0.682812909,0.1771,3.437390829,0.299368998,0.3998,0.1548,0.182,0.0,4.69
AVGO,Technology,11.7286,0.1821,0.588,0.514821566,0.4599,7.911954459,0.415928497,0.6562,0.019,0.1807,0.0318,3.895
AMAT,Technology,5.9182,0.1868,0.192,0.453080624,0.484,12.26226013,0.978449498,0.7756,0.0361,0.117,0.0193,2.704
XOM,Energy,6.4843,0.1876,0.072,0.349320497,0.1087,1.174467121,0.838288137,0.1971,0.0674,0.0051,0.0474,0.84
CSCO,Technology,10.9646,0.0276,0.002,0.620433813,0.0025,16.41051231,0.453467422,0.5918,0.0157,0.1284,0.0294,2.287
AXP,Financial Services,12.2615,0.0841,0.187,1.0,0.3105,8.375452899,0.196106086,2.7601,0.0354,0.0,0.0151,1.820495924
V,Financial Services,22.1064,0.1226,0.5,0.846183706,0.3029,8.33697411,0.297710365,0.489,0.0342,0.0,0.0055,1.611
GRPN,Technology,11.4377,-0.0728,-0.004,0.500844981,-0.0291,18.42370927,1.605674783,0.529,0.0264,0.0,0.0,1.043
HAL,Energy,7.951,0.1637,0.069,0.124442592,0.1739,2.704271385,0.923523978,1.083,0.0753,0.0,0.0271,2.322
MRO,Energy,3.8978,0.3813,0.167,0.784715892,0.0904,0.391692454,0.308709723,0.4534,0.4183,0.0439,0.0139,1.594
GM,Consumer Cyclical,5.495,0.01,0.054,0.095852403,0.2062,1.786374625,0.646826985,2.7007,0.0596,0.0,0.0454,0.916
FCX,Basic Materials,3.4748,0.1356,0.14,0.278237062,0.2656,0.665048197,0.441254501,1.1371,0.0992,0.0056,0.0145,3.22
ATVI,Technology,13.8304,0.0688,0.242,0.6644,0.1591,26.59574468,0.419228619,0.2345,0.0175,0.1468,0.0073,2.311
