Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
CMCSA,Consumer Cyclical,8.9618,0.1115,0.124,1.0,0.1638,2.126763733,0.375498641,1.5604,0.1303,0.0,0.0269,0.792
KMI,Energy,10.6065,0.032,0.105,0.484728507,0.0478,0.373222155,0.179342175,1.1083,0.2067,0.0,0.0471,0.757
INTC,Technology,7.0919,0.1289,0.297,0.617335705,0.2824,1.446586083,0.553660042,0.3535,0.2143,0.1912,0.0256,1.731
MU,Technology,3.0421,0.4955,0.465,0.588694021,0.4377,1.283837445,0.700640907,0.1436,0.2922,0.0704,0.0,2.787
AAPL,Technology,13.6724,0.1586,0.224,0.383437188,0.5556,6.430248886,0.726215052,1.0685,0.0501,0.0536,0.012,1.133
MSFT,Technology,15.3298,0.1428,0.15,0.652473722,0.2003,3.053173242,0.4263506,0.989,0.1054,0.1334,0.0165,2.901
SIRI,Consumer Cyclical,15.5433,0.0637,0.204,0.599942953,-0.6472,3.814072703,0.706067784,-3.7909,0.0616,0.0214,0.0079,0.171
HPQ,Technology,8.4975,0.1233,0.091,0.182463401,-8.3365,26.60236579,1.68886835,-9.3693,0.0064,0.024,0.0231,0.851
CZR,Consumer Cyclical,8.2052,0.7237,0.036,0.501728042,0.0932,0.522966656,0.325548012,5.8591,0.0673,0.0,0.0,1.133
F,Consumer Cyclical,10.8702,0.0227,0.023,0.091095062,0.1023,4.431919951,0.625001949,4.2918,0.0486,0.0,0.0784,1.2
AMD,Technology,29.9565,0.2326,0.052,0.377915058,0.2662,18.60632184,1.421202809,0.9874,0.0252,0.2215,0.0,1.784
FB,Technology,11.3092,0.3735,0.396,0.832461764,0.2628,2.262204756,0.573674153,0.0,0.2492,0.184,0.0,7.194
WFC,Financial Services,11.2474,-0.0139,0.244,1.0,0.1142,9.491479821,0.044656764,1.7069,0.0,0.0,0.0356,0.280502005
T,Communication Services,6.2464,0.0636,0.113,0.534897749,0.1052,1.149546929,0.321051998,0.9588,0.1216,0.0,0.0701,0.798
AKS,Basic Materials,4.5495,0.1213,0.027,0.133055645,1.8619,3.566750366,1.509887725,19.957,0.0223,0.0,0.0,1.95
JPM,Financial Services,5.5115,0.0827,0.282,1.0,0.1197,7.300723182,0.041573945,2.0803,0.0,0.0,0.0254,0.563646907
ORCL,Technology,10.6814,0.0421,0.091,0.795343168,0.0774,6.678480583,0.285692523,1.3072,0.0441,0.1545,0.0163,3.982
NKE,Consumer Cyclical,22.296,0.0596,0.053,0.438387779,0.197,8.171755725,1.615060348,0.3883,0.0282,0.0,0.0106,2.506
PG,Consumer Defensive,13.0415,0.0273,0.146,0.484797702,0.1844,3.244271845,0.564888851,0.5916,0.0556,0.0,0.0357,0.826
PFE,Healthcare,15.0866,0.021,0.208,0.790333103,0.1759,4.007994023,0.33650939,0.6583,0.0409,0.1492,0.0312,1.567
TWTR,Technology,18.7334,0.2452,0.396,0.682812909,0.1771,3.437390829,0.299368998,0.3998,0.1548,0.182,0.0,4.69
AVGO,Technology,11.7286,0.1821,0.588,0.514821566,0.4599,7.911954459,0.415928497,0.6562,0.019,0.1807,0.0318,3.895
AMAT,Technology,5.9182,0.1868,0.192,0.453080624,0.484,12.26226013,0.978449498,0.7756,0.0361,0.117,0.0193,2.704
ZNGA,Technology,41.8997,0.0532,0.017,0.664180651,0.0097,3.40342966,0.42260527,0.0626,0.0126,0.298,0.0,1.557
XOM,Energy,6.4843,0.1876,0.072,0.349320497,0.1087,1.174467121,0.838288137,0.1971,0.0674,0.0051,0.0474,0.84
QCOM,Technology,40.7716,0.0159,-0.22,0.546946177,-6.1512,7.600336134,0.691087475,20.285,0.0347,0.2488,0.0328,1.526
CSCO,Technology,10.9646,0.0276,0.002,0.620433813,0.0025,16.41051231,0.453467422,0.5918,0.0157,0.1284,0.0294,2.287
AXP,Financial Services,12.2615,0.0841,0.187,1.0,0.3105,8.375452899,0.196106086,2.7601,0.0354,0.0,0.0151,1.820495924
BMY,Healthcare,12.6644,0.0859,0.218,0.709808962,0.3507,4.487964989,0.644857943,0.5238,0.0422,0.2812,0.0308,1.611
V,Financial Services,22.1064,0.1226,0.5,0.846183706,0.3029,8.33697411,0.297710365,0.489,0.0342,0.0,0.0055,1.611
GRPN,Technology,11.4377,-0.0728,-0.004,0.500844981,-0.0291,18.42370927,1.605674783,0.529,0.0264,0.0,0.0,1.043
KEY,Financial Services,11.2683,0.0252,0.291,1.0,0.1197,7.004535147,0.044250894,0.9359,0.0157,0.0,0.0382,0.052913111
RF,Financial Services,8.9619,0.0325,0.307,1.0,0.1123,2.701711491,0.043958055,0.9294,0.0273,0.0,0.0344,0.048189897
KR,Consumer Defensive,8.8862,0.0635,0.016,0.22011707,0.2751,5.821365858,3.297631529,2.2492,0.0229,0.0,0.0172,0.783
HAL,Energy,7.951,0.1637,0.069,0.124442592,0.1739,2.704271385,0.923523978,1.083,0.0753,0.0,0.0271,2.322
MRO,Energy,3.8978,0.3813,0.167,0.784715892,0.0904,0.391692454,0.308709723,0.4534,0.4183,0.0439,0.0139,1.594
GILD,Healthcare,7.5873,-0.1524,0.247,0.780675193,0.2551,5.523464803,0.347499018,1.2775,0.0418,0.2268,0.0365,3.379
GM,Consumer Cyclical,5.495,0.01,0.054,0.095852403,0.2062,1.786374625,0.646826985,2.7007,0.0596,0.0,0.0454,0.916
FCX,Basic Materials,3.4748,0.1356,0.14,0.278237062,0.2656,0.665048197,0.441254501,1.1371,0.0992,0.0056,0.0145,3.22
ATVI,Technology,13.8304,0.0688,0.242,0.6644,0.1591,26.59574468,0.419228619,0.2345,0.0175,0.1468,0.0073,2.311
NUE,Basic Materials,4.8325,0.2377,0.094,0.171355176,0.2411,4.698868438,1.398797796,0.4382,0.0379,0.0,0.0297,3.077
SWN,Energy,2.9687,0.2057,0.139,0.45546349,0.2273,0.829467354,0.666206659,0.9814,-0.0914,0.0,0.0,1.13
