Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,residuals
7.0919,0.1289,0.297,0.617335705,0.2824,0.553660042,0.3535,0.12496224999999998,0.2143,0.1912,0.0256,1.731,2.9963610000000003,0.2824,False,False,False,False,False,False,False,False,True,False,64.66065014529693
13.6724,0.1586,0.224,0.383437188,0.5556,0.726215052,1.0685,1.14169225,0.0501,0.0536,0.012,1.133,1.283689,0.5556,False,False,False,False,False,False,False,False,True,False,7.400208335725053
15.3298,0.1428,0.15,0.652473722,0.2003,0.4263506,0.989,0.978121,0.1054,0.1334,0.0165,2.901,8.415800999999998,0.2003,False,False,False,False,False,False,False,False,True,False,0.6678730923463062
10.8702,0.0227,0.023,0.091095062,0.1023,0.625001949,4.2918,18.419547240000004,0.0486,0.0,0.0784,1.2,1.44,0.1023,False,True,False,False,False,False,False,False,False,False,5.3816343561844615
10.6814,0.0421,0.091,0.795343168,0.0774,0.285692523,1.3072,1.7087718399999998,0.0441,0.1545,0.0163,3.982,15.856324000000003,0.0774,False,False,False,False,False,False,False,False,True,False,19.98866571549931
22.296,0.0596,0.053,0.438387779,0.197,1.615060348,0.3883,0.15077689,0.0282,0.0,0.0106,2.506,6.280035999999999,0.197,False,True,False,False,False,False,False,False,False,False,178.51223062690255
13.0415,0.0273,0.146,0.484797702,0.1844,0.564888851,0.5916,0.34999056,0.0556,0.0,0.0357,0.826,0.6822759999999999,0.1844,False,False,True,False,False,False,False,False,False,False,0.11142136048012648
15.0866,0.021,0.208,0.790333103,0.1759,0.33650939,0.6583,0.43335889,0.0409,0.1492,0.0312,1.567,2.455489,0.1759,False,False,False,False,False,True,False,False,False,False,18.832487807970935
18.7334,0.2452,0.396,0.682812909,0.1771,0.299368998,0.3998,0.15984004,0.1548,0.182,0.0,4.69,21.996100000000002,0.1771,False,False,False,False,False,False,False,False,True,False,3.336079220626041
11.7286,0.1821,0.588,0.514821566,0.4599,0.415928497,0.6562,0.43059844,0.019,0.1807,0.0318,3.895,15.171025,0.4599,False,False,False,False,False,False,False,False,True,False,9.916014649414315
