row_id,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Enterprise_Value_over_EBITDA,split,Sector_label
939,0.1228,0.088,0.300557668,0.1381,0.597034702,1.0133,1.0267768900000005,0.0711,0.0,0.0114,2.339,5.470921,0.1381,False,False,False,False,False,False,True,False,False,False,14.8063,train,Industrials
191,0.0594,0.041,0.272313692,0.181,1.553079591,0.6551,0.42915601,0.0069,0.0,0.0,1.297,1.6822089999999998,0.181,False,False,False,False,False,True,False,False,False,False,11.5278,train,Healthcare
1097,0.1123,0.099,0.350646038,0.1231,0.858011712,0.1323,0.01750329,0.0606,0.0538,0.0062,2.302,5.2992040000000005,0.1231,False,False,False,False,False,False,False,False,True,False,9.7421,train,Technology
149,0.2677,0.033,0.276154358,0.1792,2.29849816,0.3253,0.1058200899999999,0.0078,0.0,0.0464,0.907,0.8226490000000001,0.1792,False,False,False,True,False,False,False,False,False,False,5.8198,train,Energy
1057,0.1035,0.084,0.295553813,0.1553,0.775025769,0.9899,0.97990201,0.0185,0.0,0.0295,2.518,6.340323999999999,0.1553,False,True,False,False,False,False,False,False,False,False,11.6228,train,Consumer_Cyclical
483,0.03,0.062,0.246897768,0.1394,0.547515593,2.6418,6.979107239999999,0.083,0.0,0.0954,0.853,0.727609,0.1394,False,False,False,False,False,False,False,True,False,False,11.573,train,Real_Estate
1109,0.1735,0.032,0.163741632,0.1793,1.372031444,1.891,3.575881,0.0272,0.0,0.0163,2.411,5.812921,0.1793,False,False,False,False,False,False,True,False,False,False,6.3886,train,Industrials
728,0.2392,0.041,0.611871715,0.0442,0.473775591,0.9843,0.96884649,0.0525,0.053,0.0,2.952,8.714304,0.0442,False,False,False,False,False,True,False,False,False,False,21.7209,train,Healthcare
626,0.0907,0.168,0.306902421,0.138,0.465640855,0.3511,0.12327121,0.1756,0.0072,0.0307,2.173,4.721929,0.138,False,False,False,False,False,False,False,False,False,False,12.1628,train,Basic_Materials
936,-0.0615,0.056,0.197807337,0.0799,0.788195785,0.5324,0.28344976,0.036,0.0,0.0166,2.499,6.245001,0.0799,False,False,False,False,False,False,True,False,False,False,14.069,train,Industrials
611,0.2535,0.05,0.553655024,0.1716,2.113145557,0.2064,0.04260096,0.0986,0.0,0.0,2.025,4.100625,0.1716,False,True,False,False,False,False,False,False,False,False,14.1273,train,Consumer_Cyclical
1092,0.2882,0.075,0.253645218,0.1019,1.00452009,0.179,0.032041,0.0281,0.0,0.0,2.693,7.252249,0.1019,False,True,False,False,False,False,False,False,False,False,8.8334,train,Consumer_Cyclical
166,0.0218,0.053,0.382592242,0.2697,1.98460383,0.3973,0.15784729,0.0461,0.0,0.0301,1.856,3.444736,0.2697,False,True,False,False,False,False,False,False,False,False,5.5175,train,Consumer_Cyclical
133,0.1222,0.036,0.215907879,0.1337,1.179303408,0.9206,0.84750436,0.0334,0.0162,0.0337,1.836,3.370896,0.1337,False,False,False,False,False,False,False,False,False,False,7.3984,train,Basic_Materials
431,0.1743,0.091,0.540792691,0.1057,0.538120629,0.7361,0.54184321,0.0217,0.1435,0.0,1.032,1.065024,0.1057,False,False,False,False,False,False,False,False,True,False,17.3487,train,Technology
529,0.1866,0.055,0.284494343,0.1356,1.433765491,0.4717,0.22250089,0.0183,0.0,0.0281,4.699,22.080601,0.1356,False,False,False,False,False,False,True,False,False,False,6.1965,train,Industrials
1141,0.0792,0.027,0.328544864,0.1047,1.777881722,0.2572,0.0661518399999999,0.0272,0.0,0.0,1.577,2.486929,0.1047,False,True,False,False,False,False,False,False,False,False,1.6221,train,Consumer_Cyclical
3,0.0227,0.023,0.091095062,0.1023,0.625001949,4.2918,18.419547240000004,0.0486,0.0,0.0784,1.2,1.44,0.1023,False,True,False,False,False,False,False,False,False,False,10.8702,train,Consumer_Cyclical
