company_symbol,sector,ev_ebitda,revenue_growth,profit_margin,gross_profit_margin,return_on_equity,fixed_asset_turnover,asset_turnover,debt_to_equity,capex_to_revenue,r_and_d_to_revenue,dividend_yield,current_ratio,debt_to_equity_squared,current_ratio_squared,positive_roe,return_on_equity_x_positive_roe
INTC,Technology,7.0919,0.1289,0.297,0.617335705,0.2824,1.446586083,0.553660042,0.3535,0.2143,0.1912,0.0256,1.731,0.12496224999999998,2.9963610000000003,1,0.2824
MU,Technology,3.0421,0.4955,0.465,0.588694021,0.4377,1.283837445,0.700640907,0.1436,0.2922,0.0704,0.0,2.787,0.02062096,7.7673689999999995,1,0.4377
MSFT,Technology,15.3298,0.1428,0.15,0.652473722,0.2003,3.053173242,0.4263506,0.989,0.1054,0.1334,0.0165,2.901,0.978121,8.415800999999998,1,0.2003
FB,Technology,11.3092,0.3735,0.396,0.832461764,0.2628,2.262204756,0.573674153,0.0,0.2492,0.184,0.0,7.194,0.0,51.753636,1,0.2628
ORCL,Technology,10.6814,0.0421,0.091,0.795343168,0.0774,6.678480583,0.285692523,1.3072,0.0441,0.1545,0.0163,3.982,1.7087718399999998,15.856324000000003,1,0.0774
NKE,Consumer Cyclical,22.296,0.0596,0.053,0.438387779,0.197,8.171755725,1.615060348,0.3883,0.0282,0.0,0.0106,2.506,0.15077689,6.280035999999999,1,0.197
PFE,Healthcare,15.0866,0.021,0.208,0.790333103,0.1759,4.007994023,0.33650939,0.6583,0.0409,0.1492,0.0312,1.567,0.43335889,2.455489,1,0.1759
TWTR,Technology,18.7334,0.2452,0.396,0.682812909,0.1771,3.437390829,0.299368998,0.3998,0.1548,0.182,0.0,4.69,0.15984004,21.996100000000002,1,0.1771
AVGO,Technology,11.7286,0.1821,0.588,0.514821566,0.4599,7.911954459,0.415928497,0.6562,0.019,0.1807,0.0318,3.895,0.43059844,15.171025,1,0.4599
AMAT,Technology,5.9182,0.1868,0.192,0.453080624,0.484,12.26226013,0.978449498,0.7756,0.0361,0.117,0.0193,2.704,0.60155536,7.311616000000001,1,0.484
CSCO,Technology,10.9646,0.0276,0.002,0.620433813,0.0025,16.41051231,0.453467422,0.5918,0.0157,0.1284,0.0294,2.287,0.35022724,5.230369,1,0.0025
V,Financial Services,22.1064,0.1226,0.5,0.846183706,0.3029,8.33697411,0.297710365,0.489,0.0342,0.0,0.0055,1.611,0.239121,2.5953209999999998,1,0.3029
HAL,Energy,7.951,0.1637,0.069,0.124442592,0.1739,2.704271385,0.923523978,1.083,0.0753,0.0,0.0271,2.322,1.1728889999999998,5.391684000000001,1,0.1739
MRO,Energy,3.8978,0.3813,0.167,0.784715892,0.0904,0.391692454,0.308709723,0.4534,0.4183,0.0439,0.0139,1.594,0.20557156000000001,2.540836,1,0.0904
FCX,Basic Materials,3.4748,0.1356,0.14,0.278237062,0.2656,0.665048197,0.441254501,1.1371,0.0992,0.0056,0.0145,3.22,1.29299641,10.368400000000001,1,0.2656
ATVI,Technology,13.8304,0.0688,0.242,0.6644,0.1591,26.59574468,0.419228619,0.2345,0.0175,0.1468,0.0073,2.311,0.05499024999999999,5.340720999999999,1,0.1591
NUE,Basic Materials,4.8325,0.2377,0.094,0.171355176,0.2411,4.698868438,1.398797796,0.4382,0.0379,0.0,0.0297,3.077,0.19201923999999998,9.467929,1,0.2411
RAD,Consumer Defensive,2.734,-0.061,0.044,0.222031311,0.5893,15.04211575,2.394947697,2.1184,0.0086,0.0,0.0,1.367,4.48761856,1.868689,1,0.5893
FLEX,Technology,8.261,0.0661,0.017,0.062728422,0.142,11.36015309,1.854870221,0.9742,0.0203,0.0,0.0,1.262,0.9490656399999999,1.592644,1,0.142
FOXA,Consumer Cyclical,9.3765,0.0234,0.215,0.359302669,0.228,8.685201027,0.773797729,0.0,0.0212,0.0,0.0,3.172,0.0,10.061584000000002,1,0.228
XRX,Technology,7.7399,-0.0424,0.037,0.399491353,0.0721,10.44633369,0.660884765,1.045,0.0092,0.0404,0.0506,1.444,1.0920249999999998,2.085136,1,0.0721
X,Basic Materials,2.8051,0.1574,0.079,0.13210608,0.2653,2.914285714,1.291021672,0.5666,0.0699,0.0,0.011,1.511,0.32103556,2.2831209999999995,1,0.2653
MIK,Consumer Cyclical,8.1083,0.0317,0.073,0.397016949,-0.2587,12.76596353,2.331069052,-1.8063,0.0238,0.0,0.0,1.751,3.26271969,3.0660009999999995,0,-0.0
DVN,Energy,2.3014,0.2091,0.285,0.386249301,0.3336,1.070616397,0.548604722,0.4849,0.1391,0.0165,0.0133,1.993,0.23512801,3.9720490000000006,1,0.3336
MPC,Energy,9.2058,0.2884,0.029,0.113653684,0.079,2.155044609,1.04478158,0.7825,0.0363,0.0,0.0312,1.364,0.6123062499999999,1.8604960000000004,1,0.079
COP,Energy,4.7619,0.1885,0.162,0.469233351,0.1959,0.847455031,0.553400972,0.4686,0.1743,0.0095,0.0186,1.795,0.21958596000000002,3.222025,1,0.1959
