iter	Passed	Remaining
0	2	694
1	4	695
2	5	590
3	6	509
4	7	453
5	8	417
6	9	392
7	12	471
8	15	495
9	17	507
10	18	489
11	19	473
12	20	458
13	21	446
14	23	441
15	24	439
16	28	468
17	31	497
18	32	482
19	33	468
20	34	455
21	35	443
22	36	436
23	37	425
24	37	415
25	39	411
26	39	403
27	40	394
28	41	388
29	42	384
30	43	380
31	44	375
32	45	370
33	46	366
34	47	360
35	48	355
36	49	351
37	50	346
38	51	341
39	51	337
40	53	336
41	54	332
42	54	328
43	55	324
44	58	332
45	60	332
46	61	328
47	61	324
48	62	320
49	63	316
50	64	312
51	64	308
52	65	305
53	66	301
54	67	298
55	67	295
56	68	291
57	69	289
58	70	286
59	71	284
60	72	283
61	73	283
62	75	283
63	76	282
64	77	280
65	78	277
66	79	275
67	79	272
68	80	270
69	81	267
70	82	265
71	82	262
72	83	260
73	84	257
74	85	255
75	85	253
76	86	251
77	87	250
78	89	250
79	91	252
80	92	250
81	93	248
82	94	247
83	95	245
84	96	243
85	96	241
86	97	239
87	98	237
88	99	235
89	100	234
90	101	232
91	104	235
92	105	235
93	106	234
94	107	232
95	108	231
96	110	230
97	110	228
98	111	227
99	112	225
100	113	223
101	114	221
102	115	220
103	115	218
104	116	216
105	117	214
106	118	214
107	119	213
108	120	211
109	121	210
110	123	209
111	124	208
112	124	206
113	126	205
114	127	205
115	128	204
116	130	203
117	131	202
118	132	201
119	134	201
120	136	201
121	138	202
122	139	200
123	140	199
124	141	198
125	143	198
126	144	197
127	146	196
128	148	196
129	150	196
130	152	196
131	153	195
132	155	194
133	156	194
134	157	193
135	159	191
136	160	190
137	161	189
138	162	187
139	163	187
140	169	190
141	179	199
142	181	198
143	182	198
144	184	197
145	185	195
146	187	194
147	188	193
148	189	192
149	190	190
150	192	189
151	193	188
152	195	187
153	197	187
154	199	186
155	201	185
156	202	184
157	204	183
158	205	182
159	209	182
160	212	183
161	214	182
162	215	181
163	216	179
164	218	178
165	219	177
166	220	175
167	221	174
168	223	172
169	224	171
170	225	170
171	227	169
172	228	167
173	230	166
174	231	165
175	232	163
176	233	161
177	234	160
178	235	159
179	236	157
180	237	156
181	238	154
182	240	153
183	242	152
184	243	151
185	244	149
186	246	148
187	247	147
188	248	145
189	249	144
190	250	143
191	251	141
192	252	140
193	254	138
194	255	137
195	257	136
196	259	135
197	260	134
198	261	132
199	264	132
200	265	130
201	266	129
202	267	127
203	268	126
204	269	124
205	270	123
206	272	122
207	274	121
208	275	120
209	276	118
210	277	117
211	279	115
212	280	114
213	281	113
214	282	111
215	283	110
216	286	109
217	288	108
218	290	107
219	291	105
220	292	104
221	293	103
222	294	101
223	296	100
224	297	99
225	298	97
226	299	96
227	300	94
228	301	93
229	303	92
230	305	91
231	306	89
232	307	88
233	309	87
234	310	85
235	311	84
236	312	83
237	313	81
238	314	80
239	316	79
240	317	77
241	319	76
242	321	75
243	322	73
244	324	72
245	325	71
246	326	70
247	328	68
248	338	69
249	339	67
250	340	66
251	341	65
252	342	63
253	344	62
254	345	60
255	346	59
256	348	58
257	350	57
258	353	55
259	355	54
260	356	53
261	357	51
262	360	50
263	364	49
264	366	48
265	367	47
266	369	45
267	370	44
268	371	42
269	372	41
270	374	40
271	376	38
272	379	37
273	381	36
274	382	34
275	383	33
276	385	31
277	386	30
278	387	29
279	388	27
280	394	26
281	396	25
282	397	23
283	398	22
284	400	21
285	401	19
286	402	18
287	403	16
288	404	15
289	407	14
290	411	12
291	412	11
292	413	9
293	414	8
294	416	7
295	417	5
296	418	4
297	419	2
298	422	1
299	425	0
